desc,val
Total length of railway (km),7153
"Count rail-stream crossings, total",4155
"Count rail-stream crossings, potential barrier",3583
"Count rail-stream crossings, potential barrier, potentially accessible",1782
"Count rail-stream crossings, potential barrier, potential spawn/rear habitat",430
Total area modelled lateral habitat (ha),1478802
Total area of modelled potential lateral habitat blocked by rail (ha),67083
Count of polygons with potential lateral habitat blocked by rail,2223
Average polygon size of potential lateral habitat blocked by rail (ha),30
