watershed_group_code,watershed_general,aggregated_crossings_id,modelled_crossing_id,stream_crossing_id,barrier_status,pscis_status,pscis_road_name,rail_track_name,rail_operator_english_name,pscis_stream_name,gnis_stream_name,stream_order,stream_order_parent,rail_barriers_dnstr,rail_barriers_dnstr_count,barriers_anthropogenic_dnstr_count,barriers_anthropogenic_upstr_count,barriers_anthropogenic_upstr_accessible_count,barriers_anthropogenic_upstr_spawningrearing_count,barriers_anthropogenic_upstr_spawningrearing_rail_count,barriers_ch_cm_co_pk_sk_dnstr,ch_cm_co_pk_sk_network_km,barriers_st_dnstr,st_network_km,ch_spawning_km,ch_rearing_km,cm_spawning_km,co_spawning_km,co_rearing_km,pk_spawning_km,sk_spawning_km,sk_rearing_km,st_spawning_km,st_rearing_km,all_spawningrearing_km,all_spawningrearing_belowupstrbarriers_km,ch_cm_co_pk_sk_network_km_dnstr,st_network_km_dnstr,ch_spawning_km_dnstr,ch_rearing_km_dnstr,cm_spawning_km_dnstr,co_spawning_km_dnstr,co_rearing_km_dnstr,pk_spawning_km_dnstr,sk_spawning_km_dnstr,sk_rearing_km_dnstr,st_spawning_km_dnstr,st_rearing_km_dnstr,all_spawningrearing_km_dnstr
LFRA,FRASER,1010305118,10305118,,POTENTIAL,,,None,Canadian National,,,1,0,,,2,1,1,1,0,{},1.6,{},1.6,0,0,1.4,0,1.4,0,0,0,0,1.4,1.4,0.02,3.3400000000000003,3.3400000000000003,0,0,3.1900000000000004,0.7,3.1100000000000003,0,0,0,0,3.1900000000000004,3.1900000000000004
LFRA,FRASER,1010305119,10305119,,POTENTIAL,,,Texada Lime Limited,Canadian National,,Yorkson Creek,3,10,,,,16,16,15,1,{},9.77,{},9.77,0,0,8.42,1.48,5.68,0,0,0,0,8.42,8.42,0.29,,,,,,,,,,,,,
LFRA,FRASER,1010305120,10305120,,POTENTIAL,,,None,Canadian National,,,2,10,,,1,3,3,3,0,{},1.67,{},1.67,0,0,0.83,0,0.83,0,0,0,0,0.83,0.83,0.34,0.01,0.01,0,0,0.02,0,0.02,0,0,0,0,0.02,0.02
LFRA,FRASER,1010305121,10305121,,POTENTIAL,,,None,Burlington Northern Santa Fe Railway,,,1,,,,4,2,2,2,0,{},0.67,{},0.67,0,0,0.35,0,0.35,0,0,0,0,0.67,0.67,0.28,11.51,11.51,0,0,6.609999999999999,3.2,6.609999999999999,0.09,0,0,0.09,7.1,7.1
LFRA,FRASER,1010305122,10305122,,POTENTIAL,,,None,Burlington Northern Santa Fe Railway,,,1,3,{1010304986},1,8,,0,0,0,{},0.25,{},0.25,0,0,0,0,0,0,0,0,0,0,0,0,16.7,16.7,0,0,8.71,3.2,8.41,0.09,0,0,0.09,9.2,9.2
LFRA,FRASER,1010305123,10305123,,POTENTIAL,,,None,Canadian Pacific,,D'Herbomez Creek,1,10,,,,2,2,2,0,{},1.83,{},1.83,0,0,1.69,0,0,0,0,0,0,0,1.69,0,,,,,,,,,,,,,
LFRA,FRASER,1010305125,10305125,,POTENTIAL,,,None,Burlington Northern Santa Fe Railway,,,2,2,,,9,,0,0,0,{},1.58,{},1.58,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,9.989999999999997,9.989999999999997,0,2.41,6.89,2.41,9.779999999999998,0,0,0,0,9.599999999999998,10.809999999999997
LFRA,FRASER,1010305126,10305126,,POTENTIAL,,,None,Burlington Northern Santa Fe Railway,,,1,1,,,10,,0,0,0,{},0.14,{},0.14,0,0,0,0,0,0,0,0,0,0,0,0,10.39,10.39,0,2.4099999999999997,6.89,2.4099999999999997,9.78,0,0,0,0,9.6,10.809999999999999
LFRA,FRASER,1010305127,10305127,,POTENTIAL,,,None,Burlington Northern Santa Fe Railway,,,1,1,,,11,2,2,0,0,{},1.09,{},1.09,0,0,0,0,0,0,0,0,0,0,0,0,10.489999999999998,10.489999999999998,0,2.41,6.889999999999999,2.41,9.779999999999998,0,0,0,0,9.599999999999998,10.809999999999997
LFRA,FRASER,1010305129,10305129,,POTENTIAL,,,Marpole,Canadian Pacific,,,1,,,,,2,2,0,0,{},0.67,{},0.67,0,0,0.02,0,0.02,0,0,0,0,0.02,0.02,0.02,,,,,,,,,,,,,
